,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,latitude,longitude,Zona,fl_intermodalidade,fl_lte_5_km_estacao,fl_lte_5_km_pontos_turisticos,entire_home_apt_private_room_roteiro_turistico,acomodacao_alta_experiencia
20733,Entire home/apt,8,3,3,6,1350.0,1,4.812309491059147,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
20734,Private room,2,1,3,1,250.0,2,5.0,-22.9952094,-43.2408556,Zona Sul,0,0,1,1,1
20735,Entire home/apt,3,1,1,1,1000.0,2,5.0,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20736,Private room,2,0,1,1,600.0,1,5.0,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20737,Private room,4,1,1,3,200.0,19,4.89,-22.9215542,-43.1860269,Centro,1,1,1,1,1
20738,Entire home/apt,4,1,1,2,789.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20739,Entire home/apt,2,1,0,7,732.0,7,5.0,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
20740,Entire home/apt,4,1,1,2,423.0,1,4.812309491059147,-22.8953684,-43.5288566,Zona Oeste,0,0,0,0,1
20741,Entire home/apt,10,3,3,6,1029.0,23,4.96,-22.9215542,-43.1860269,Centro,1,1,1,1,1
20742,Entire home/apt,3,1,1,1,561.0,16,5.0,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20743,Entire home/apt,2,1,1,1,738.0,7,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20744,Entire home/apt,5,2,2,2,2006.0,5,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20745,Entire home/apt,14,4,5,8,2165.0,23,4.65,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20746,Entire home/apt,7,1,2,4,1371.0,1,4.812309491059147,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20747,Entire home/apt,4,2,2,3,930.0,1,5.0,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20748,Entire home/apt,3,1,1,2,479.0,7,5.0,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
20749,Entire home/apt,4,1,1,2,304.0,2,3.5,-22.971974,-43.1842997,Zona Sul,1,1,1,1,0
20750,Private room,2,1,1,1,854.0,1,4.812309491059147,-22.9913592,-43.2675329,Zona Sul,0,1,1,1,1
20751,Private room,1,1,3,1,250.0,2,5.0,-22.9339841,-43.1745744,Zona Sul,1,1,1,1,1
20752,Entire home/apt,4,2,2,0,500.0,9,4.89,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20753,Entire home/apt,2,2,1,0,495.0,1,5.0,-22.9183225,-43.1739232,Zona Sul,1,1,1,1,1
20754,Entire home/apt,3,1,2,1,550.0,1,4.812309491059147,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20755,Entire home/apt,4,2,2,2,2300.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20756,Entire home/apt,6,3,3,3,1091.0,1,4.812309491059147,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20757,Private room,3,1,1,3,281.0,1,5.0,-22.9112162,-43.2131983,Zona Norte,1,1,1,1,1
20758,Entire home/apt,4,2,1,1,309.0,6,4.67,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20759,Private room,2,2,1,1,500.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20760,Entire home/apt,4,1,1,2,750.0,6,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20761,Entire home/apt,4,2,2,2,1900.0,8,5.0,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
20762,Entire home/apt,8,2,2,3,2000.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20763,Entire home/apt,6,2,3,0,1000.0,12,4.58,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20764,Entire home/apt,3,1,0,2,680.0,14,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20765,Entire home/apt,4,1,1,0,424.0,27,4.96,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20766,Entire home/apt,6,1,2,4,1642.0,26,4.88,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20767,Entire home/apt,2,1,1,1,653.0,40,4.9,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20768,Private room,2,1,1,1,1000.0,1,4.812309491059147,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20769,Entire home/apt,4,1,1,2,787.0,6,4.67,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20770,Entire home/apt,2,2,1,1,1200.0,38,5.0,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20771,Entire home/apt,4,1,1,0,500.0,1,4.812309491059147,-22.9269199,-43.1802186,Zona Sul,1,1,1,1,1
20772,Private room,5,2,2,1,350.0,1,4.812309491059147,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
